第47番札所,,,1,名詞,一般,*,*,*,*,*,*,*
八坂寺,,,1,名詞,一般,*,*,*,*,*,*,*
第48番札所,,,1,名詞,一般,*,*,*,*,*,*,*
西林寺,,,1,名詞,一般,*,*,*,*,*,*,*
第49番札所,,,1,名詞,一般,*,*,*,*,*,*,*
浄土寺,,,1,名詞,一般,*,*,*,*,*,*,*
第50番札所,,,1,名詞,一般,*,*,*,*,*,*,*
繁多寺,,,1,名詞,一般,*,*,*,*,*,*,*
第51番札所,,,1,名詞,一般,*,*,*,*,*,*,*
石手寺,,,1,名詞,一般,*,*,*,*,*,*,*
第52番札所,,,1,名詞,一般,*,*,*,*,*,*,*
太山寺,,,1,名詞,一般,*,*,*,*,*,*,*
第53番札所,,,1,名詞,一般,*,*,*,*,*,*,*
圓明寺,,,1,名詞,一般,*,*,*,*,*,*,*
第54番札所,,,1,名詞,一般,*,*,*,*,*,*,*
延命寺,,,1,名詞,一般,*,*,*,*,*,*,*
第55番札所,,,1,名詞,一般,*,*,*,*,*,*,*
南光坊,,,1,名詞,一般,*,*,*,*,*,*,*
第56番札所,,,1,名詞,一般,*,*,*,*,*,*,*
泰山寺,,,1,名詞,一般,*,*,*,*,*,*,*
第57番札所,,,1,名詞,一般,*,*,*,*,*,*,*
栄福寺,,,1,名詞,一般,*,*,*,*,*,*,*
第58番札所,,,1,名詞,一般,*,*,*,*,*,*,*
仙遊寺,,,1,名詞,一般,*,*,*,*,*,*,*
第59番札所,,,1,名詞,一般,*,*,*,*,*,*,*
第60番札所,,,1,名詞,一般,*,*,*,*,*,*,*
横峰寺,,,1,名詞,一般,*,*,*,*,*,*,*
第61番札所,,,1,名詞,一般,*,*,*,*,*,*,*
香園寺,,,1,名詞,一般,*,*,*,*,*,*,*
第62番札所,,,1,名詞,一般,*,*,*,*,*,*,*
宝寿寺,,,1,名詞,一般,*,*,*,*,*,*,*
第63番札所,,,1,名詞,一般,*,*,*,*,*,*,*
吉祥寺,,,1,名詞,一般,*,*,*,*,*,*,*
第64番札所,,,1,名詞,一般,*,*,*,*,*,*,*
前神寺,,,1,名詞,一般,*,*,*,*,*,*,*
第65番札所,,,1,名詞,一般,*,*,*,*,*,*,*
三角寺,,,1,名詞,一般,*,*,*,*,*,*,*
第66番札所,,,1,名詞,一般,*,*,*,*,*,*,*
雲辺寺,,,1,名詞,一般,*,*,*,*,*,*,*
第67番札所,,,1,名詞,一般,*,*,*,*,*,*,*
大興寺,,,1,名詞,一般,*,*,*,*,*,*,*
第68番札所,,,1,名詞,一般,*,*,*,*,*,*,*
神恵院,,,1,名詞,一般,*,*,*,*,*,*,*
第69番札所,,,1,名詞,一般,*,*,*,*,*,*,*
第70番札所,,,1,名詞,一般,*,*,*,*,*,*,*
本山寺,,,1,名詞,一般,*,*,*,*,*,*,*
第71番札所,,,1,名詞,一般,*,*,*,*,*,*,*
弥谷寺,,,1,名詞,一般,*,*,*,*,*,*,*
第72番札所,,,1,名詞,一般,*,*,*,*,*,*,*
曼荼羅寺,,,1,名詞,一般,*,*,*,*,*,*,*
第73番札所,,,1,名詞,一般,*,*,*,*,*,*,*
